Himachal Pradesh,Mandi,Mandi(Takoli),Cauliflower,Other,FAQ,06/02/2024,1400,1600,1500
Himachal Pradesh,Mandi,Mandi(Takoli),Peas Wet,Other,FAQ,06/02/2024,2500,3000,2800
Himachal Pradesh,Mandi,Mandi(Takoli),Potato,Other,FAQ,06/02/2024,1000,1000,1000
Himachal Pradesh,Shimla,Shimla,Cabbage,Other,FAQ,06/02/2024,1800,2000,1900
Himachal Pradesh,Shimla,Shimla,Onion,1st Sort,FAQ,06/02/2024,2000,2200,2100
Himachal Pradesh,Sirmore,Nahan,Cucumbar(Kheera),Other,FAQ,06/02/2024,4000,4500,4200
Himachal Pradesh,Sirmore,Nahan,Potato,Other,FAQ,06/02/2024,900,1100,1000
Himachal Pradesh,Sirmore,Paonta Sahib,Methi(Leaves),Other,FAQ,06/02/2024,2000,2500,2200
Himachal Pradesh,Sirmore,Paonta Sahib,Papaya,Other,Large,06/02/2024,2000,2500,2200
Himachal Pradesh,Sirmore,Paonta Sahib,Peas Wet,Other,FAQ,06/02/2024,3000,4000,3500
Himachal Pradesh,Solan,Solan,Garlic,Other,FAQ,06/02/2024,30000,39000,38000
Himachal Pradesh,Solan,Solan,Pineapple,Other,Medium,06/02/2024,4000,6500,5000
Himachal Pradesh,Solan,Solan,Pumpkin,Other,FAQ,06/02/2024,2000,2500,2200
Jammu and Kashmir,Anantnag,Ashahipora (Anantnagh),Carrot,Other,FAQ,06/02/2024,2000,2500,2250
Jammu and Kashmir,Anantnag,Ashahipora (Anantnagh),French Beans (Frasbean),French Beans (Frasbean),FAQ,06/02/2024,3500,4000,3750
Jammu and Kashmir,Anantnag,Ashahipora (Anantnagh),Pineapple,Pine Apple,Large,06/02/2024,8000,8500,8250
Jammu and Kashmir,Anantnag,Ashahipora (Anantnagh),Turnip,Turnip,FAQ,06/02/2024,1500,2000,1750
Jammu and Kashmir,Jammu,Akhnoor,Bhindi(Ladies Finger),Other,FAQ,06/02/2024,5200,5600,5400
Jammu and Kashmir,Jammu,Akhnoor,Carrot,Other,FAQ,06/02/2024,1000,1200,1100
